itemID,stimuli,gender,verb,study,language,subject,object,predicate,binary_choice_response,binary_choice,yes_no_response,subject_yes_probability,yes_no_choice,continuation_response,cont_choice,prompt
I01,Mike aggravated Tony.,M,IC1,Rohde & Kehler (2014),english,Mike,Tony,aggravated,Tony,Object,No,4.03E-10,Object,Tony decided to take a deep breath and calm down before responding.,Object,free
I02,Tony amazed Eric.,M,IC1,Rohde & Kehler (2014),english,Tony,Eric,amazed,Eric,Object,No,1.77E-10,Object,Eric couldn't believe what he had just seen.,Object,free
I03,Eric amused Zack.,M,IC1,Rohde & Kehler (2014),english,Eric,Zack,amused,Z,Object,No,9.18E-12,Object,Zack laughed at Eric's jokes.,Object,free
I04,Zack annoyed Ben.,M,IC1,Rohde & Kehler (2014),english,Zack,Ben,annoyed,Ben,Object,No,1.92E-11,Object,Ben decided to ignore Zack's antics.,Object,free
I05,Ben apologized to Paul.,M,IC1,Rohde & Kehler (2014),english,Ben,Paul,apologized to,Paul,Object,No,3.06E-11,Object,Paul accepted the apology graciously.,Object,free
I06,Paul bored David.,M,IC1,Rohde & Kehler (2014),english,Paul,David,bored,David,Object,No,3.91E-10,Object,David decided to find an activity that would interest him more.,Object,free
I07,David charmed Nick.,M,IC1,Rohde & Kehler (2014),english,David,Nick,charmed,Nick,Object,No,3.45E-10,Object,Nick found himself smiling more than he had in a long time around David.,Object,free
I08,Nick offended Steve.,M,IC1,Rohde & Kehler (2014),english,Nick,Steve,offended,Steve,Object,No,8.12E-12,Object,Steve felt hurt by Nick's words.,Object,free
I09,Steve confessed to Brian.,M,IC1,Rohde & Kehler (2014),english,Steve,Brian,confessed to,Brian,Object,No,6.70E-11,Object,"Brian listened intently, processing the unexpected admission.",Object,free
I10,Brian deceived Frank.,M,IC1,Rohde & Kehler (2014),english,Brian,Frank,deceived,Frank,Object,No,6.26E-11,Object,Frank felt betrayed when he discovered the truth.,Object,free
I11,Frank disappointd Simon.,M,IC1,Rohde & Kehler (2014),english,Frank,Simon,disappointd,Simon,Object,No,1.33E-11,Object,Simon felt his hopes sink as a result.,Object,free
I12,Simon exasperated Justin.,M,IC1,Rohde & Kehler (2014),english,Simon,Justin,exasperated,Justin,Object,No,1.04E-10,Object,Justin decided to take a deep breath and explain things more clearly to Simon.,Object,free
I13,Justin fascinated Mike.,M,IC1,Rohde & Kehler (2014),english,Justin,Mike,fascinated,Mike,Object,No,6.54E-11,Object,Mike found himself increasingly drawn to Justin's unique sense of humor.,Object,free
