itemID,stimuli,gender,verb,study,language,subject,object,predicate,binary_choice_response,binary_choice,yes_no_response,yes_no_choice,subject_yes_probability,continuation_response,cont_choice,prompt
I01,Mike aggravated Tony.,M,IC1,Rohde & Kehler (2014),english,Mike,Tony,aggravated,Mike,Subject,No,Object,0.998073226,Tony clenched his fists.,Object,free
I02,Tony amazed Eric.,M,IC1,Rohde & Kehler (2014),english,Tony,Eric,amazed,Tony,Subject,No,Object,0.952574109,Eric couldn't believe what he had just seen.,Object,free
I03,Eric amused Zack.,M,IC1,Rohde & Kehler (2014),english,Eric,Zack,amused,Eric,Subject,No,Object,0.924141771,Zack let out a hearty laugh.,Object,free
I04,Zack annoyed Ben.,M,IC1,Rohde & Kehler (2014),english,Zack,Ben,annoyed,Z,Subject,No,Object,0.99682733,Ben glared at Zack.,Object,free
I05,Ben apologized to Paul.,M,IC1,Rohde & Kehler (2014),english,Ben,Paul,apologized to,Ben,Subject,No,Object,0.777299867,Paul accepted his apology with a nod.,Object,free
I06,Paul bored David.,M,IC1,Rohde & Kehler (2014),english,Paul,David,bored,Paul,Subject,No,Object,0.880796994,David struggled to stay engaged.,Object,free
I07,David charmed Nick.,M,IC1,Rohde & Kehler (2014),english,David,Nick,charmed,David,Subject,No,Object,0.999088952,Nick smiled warmly.,Object,free
I08,Nick offended Steve.,M,IC1,Rohde & Kehler (2014),english,Nick,Steve,offended,Nick,Subject,No,Object,0.999738698,Steve clenched his fists.,Object,free
I09,Steve confessed to Brian.,M,IC1,Rohde & Kehler (2014),english,Steve,Brian,confessed to,Steve,Subject,Yes,Subject,0.904650432,Brian took a deep breath and asked him to explain everything.,Object,free
I10,Brian deceived Frank.,M,IC1,Rohde & Kehler (2014),english,Brian,Frank,deceived,Brian,Subject,No,Object,0.993307127,Frank sought revenge.,Object,free
I11,Frank disappointd Simon.,M,IC1,Rohde & Kehler (2014),english,Frank,Simon,disappointd,Frank,Subject,Yes,Subject,0.148047208,Simon crossed his arms and looked away.,Object,free
I12,Simon exasperated Justin.,M,IC1,Rohde & Kehler (2014),english,Simon,Justin,exasperated,Simon,Subject,No,Object,0.995929904,Justin clenched his fists and took a deep breath.,Object,free
I13,Justin fascinated Mike.,M,IC1,Rohde & Kehler (2014),english,Justin,Mike,fascinated,Justin,Subject,No,Object,0.985936321,Mike couldn't help but ask Justin how he knew so much.,Object,free
I14,Mike frightened Eric.,M,IC1,Rohde & Kehler (2014),english,Mike,Eric,frightened,Mike,Subject,No,Object,0.993307127,Eric stepped back cautiously.,Object,free
I15,Tony humiliated Zack.,M,IC1,Rohde & Kehler (2014),english,Tony,Zack,humiliated,Tony,Subject,No,Object,0.998073226,"Zack clenched his fists, determined to prove him wrong.",Object,free
I16,Eric infuriated Ben.,M,IC1,Rohde & Kehler (2014),english,Eric,Ben,infuriated,Ben,Object,No,Object,0.999290323,"Ben clenched his fists, trying to keep his composure.",Object,free
I17,Zack inspires Paul.,M,IC1,Rohde & Kehler (2014),english,Zack,Paul,inspires,Z,Subject,No,Object,0.982013776,Paul begins to see new possibilities for his future.,Object,free
I18,Ben intimidates David.,M,IC1,Rohde & Kehler (2014),english,Ben,David,intimidates,Ben,Subject,Yes,Subject,0.622459311,David takes a step back.,Object,free
I19,Paul scares Nick.,M,IC1,Rohde & Kehler (2014),english,Paul,Nick,scares,Paul,Subject,No,Object,0.880796994,Nick takes a step back.,Object,free
I20,David surprised Steve.,M,IC1,Rohde & Kehler (2014),english,David,Steve,surprised,David,Subject,No,Object,0.995929904,Steve couldn't believe what he was seeing.,Object,free
I21,Nick consulted Brian.,M,IC1,Ferstl et al.(2010),english,Nick,Brian,consulted,Nick,Subject,No,Object,0.999738698,Brian nodded thoughtfully.,Object,free
I22,Steve attracted Frank.,M,IC1,Ferstl et al.(2010),english,Steve,Frank,attracted,Steve,Subject,No,Object,0.679178676,Frank couldn't help but feel intrigued.,Object,free
