itemID,stimuli,gender,verb,study,language,subject,object,predicate,binary_choice_response,binary_choice,yes_no_response,subject_yes_probability,yes_no_choice,continuation_response,cont_choice,prompt
I01,Mike aggravated Tony. He,M,IC1,Rohde & Kehler (2014),english,Mike,Tony,aggravated,Tony,Object,Yes,0.7490484831199926,Subject,decided to confront him about his behavior.,Object,pronoun
I02,Tony amazed Eric. He,M,IC1,Rohde & Kehler (2014),english,Tony,Eric,amazed,Eric,Object,Yes,0.5234617908026292,Subject,was incredibly impressed by Tony's impressive magic tricks that he had been practicing for months.,Object,pronoun
I03,Eric amused Zack. He,M,IC1,Rohde & Kehler (2014),english,Eric,Zack,amused,Eric,Subject,Yes,0.7522387322225381,Subject,"was known for his ability to make anyone laugh, and Zack was no exception.",Subject,pronoun
I04,Zack annoyed Ben. He,M,IC1,Rohde & Kehler (2014),english,Zack,Ben,annoyed,Z,Subject,Yes,0.6627906882487672,Subject,was clearly fed up with Zack's constant teasing about his new haircut.,Object,pronoun
I05,Ben apologized to Paul. He,M,IC1,Rohde & Kehler (2014),english,Ben,Paul,apologized to,Ben,Subject,No,0.036201851,Object,explained that he had been under a lot of stress lately and wasn't thinking clearly when he made the comment that had upset him.,Subject,pronoun
I06,Paul bored David. He,M,IC1,Rohde & Kehler (2014),english,Paul,David,bored,Paul,Subject,No,0.3912155768358198,Object,was feeling frustrated with his lack of progress on the project.,Object,pronoun
I07,David charmed Nick. He,M,IC1,Rohde & Kehler (2014),english,David,Nick,charmed,David,Subject,Yes,0.8034592701573228,Subject,smiled warmly at him and asked if he wanted to join him for a drink.,Subject,pronoun
I08,Nick offended Steve. He,M,IC1,Rohde & Kehler (2014),english,Nick,Steve,offended,Steve,Object,Yes,0.6213249998728455,Subject,decided to apologize and clear the air before things escalated further.,Subject,pronoun
I09,Steve confessed to Brian. He,M,IC1,Rohde & Kehler (2014),english,Steve,Brian,confessed to,Steve,Subject,No,0.3709242174519789,Object,had been struggling with the weight of his secret for months and finally felt a sense of relief wash over him as he spoke the words out loud.,Subject,pronoun
I10,Brian deceived Frank. He,M,IC1,Rohde & Kehler (2014),english,Brian,Frank,deceived,Brian,Subject,No,0.31031117936052777,Object,decided to confront him about the lie that had been weighing heavily on his mind for weeks.,Subject,pronoun
I11,Frank disappointd Simon. He,M,IC1,Rohde & Kehler (2014),english,Frank,Simon,disappointd,Simon,Object,Yes,0.7358501435590998,Subject,was extremely hurt by Frank's words and felt betrayed by their long-standing friendship.,Object,pronoun
I12,Simon exasperated Justin. He,M,IC1,Rohde & Kehler (2014),english,Simon,Justin,exasperated,Justin,Object,Yes,0.8812551357500388,Subject,"had been trying to explain the complex math problem to him for hours, but no matter how patiently he approached it, Justin just couldn't seem to grasp the concept",Subject,pronoun
I13,Justin fascinated Mike. He,M,IC1,Rohde & Kehler (2014),english,Justin,Mike,fascinated,Justin,Subject,No,0.16005056745418803,Object,"was particularly drawn to Justin's unique sense of humor, which often caught him off guard with its unexpected twists and clever observations.",Object,pronoun
I14,Mike frightened Eric. He,M,IC1,Rohde & Kehler (2014),english,Mike,Eric,frightened,Eric,Object,Yes,0.7560583851096662,Subject,decided to stay calm and not let Mike's behavior affect his mood.,Object,pronoun
I15,Tony humiliated Zack. He,M,IC1,Rohde & Kehler (2014),english,Tony,Zack,humiliated,Z,Object,Yes,0.5057130535919319,Subject,"was left standing alone in the school hallway, his eyes welling up with tears as he struggled to hold back the embarrassment and shame.",Object,pronoun
I16,Eric infuriated Ben. He,M,IC1,Rohde & Kehler (2014),english,Eric,Ben,infuriated,Eric,Subject,Yes,0.8609176056277582,Subject,"yelled at him across the room, slamming his fist on the table.",Ambiguous,pronoun
I17,Zack inspires Paul. He,M,IC1,Rohde & Kehler (2014),english,Zack,Paul,inspires,Z,Subject,No,0.425778751,Object,is a great friend and a talented musician.,Subject,pronoun
I18,Ben intimidates David. He,M,IC1,Rohde & Kehler (2014),english,Ben,David,intimidates,Ben,Subject,Yes,0.6604388746329646,Subject,was hesitant to speak up in class after that.,Object,pronoun
I19,Paul scares Nick. He,M,IC1,Rohde & Kehler (2014),english,Paul,Nick,scares,Paul,Subject,No,0.3680415739183786,Object,"is a bit of a wild card, and you never quite know what he's going to do next.",Subject,pronoun
I20,David surprised Steve. He,M,IC1,Rohde & Kehler (2014),english,David,Steve,surprised,David,Subject,No,0.15951971321790312,Object,was taken aback by the unexpected visit from his old friend.,Object,pronoun
I21,Nick consulted Brian. He,M,IC1,Ferstl et al.(2010),english,Nick,Brian,consulted,Brian,Object,No,0.24013880008260458,Object,thought that the solution to their company's financial problems lay in restructuring their marketing strategy.,Object,pronoun
I22,Steve attracted Frank. He,M,IC1,Ferstl et al.(2010),english,Steve,Frank,attracted,Steve,Subject,No,0.3342676308897307,Object,was immediately drawn to his charismatic personality.,Object,pronoun
I23,Brian agitated Simon. He,M,IC1,Ferstl et al.(2010),english,Brian,Simon,agitated,Simon,Object,Yes,0.845229814,Subject,was furious about the surprise party that Simon had planned for his birthday without telling him.,Subject,pronoun
I24,Frank angered Justin. He,M,IC1,Ferstl et al.(2010),english,Frank,Justin,angered,Frank,Subject,Yes,0.5055823055732167,Subject,"had been planning to surprise him with a birthday party for weeks, and Justin's constant complaining about the plans had ruined the surprise.",Subject,pronoun
I25,Simon delighted Mike. He,M,IC1,Ferstl et al.(2010),english,Simon,Mike,delighted,Mike,Object,No,0.42124179820026464,Object,was thrilled to receive the surprise gift that Simon had been planning for months.,Object,pronoun
I26,Justin pleased Tony. He,M,IC1,Ferstl et al.(2010),english,Justin,Tony,pleased,Tony,Object,Yes,0.6983272967329538,Subject,was very happy to have finally finished the project he had been working on for months.,Ambiguous,pronoun
I27,Mike called Zack. He,M,IC1,Ferstl et al.(2010),english,Mike,Zack,called,Z,Object,No,0.3215864623176901,Object,decided to meet up at the old coffee shop on Main Street to discuss the project they had been working on for weeks.,Ambiguous,pronoun
I28,Tony telephoned Ben. He,M,IC1,Ferstl et al.(2010),english,Tony,Ben,telephoned,Ben,Object,No,0.1527025701319548,Object,asked him to meet at the coffee shop on Main Street to discuss the upcoming project.,Subject,pronoun
I29,Eric concerned Paul. He,M,IC1,Ferstl et al.(2010),english,Eric,Paul,concerned,Eric,Subject,No,0.4835648712292022,Object,"was worried about his latest business venture, a new restaurant that was struggling to attract customers.",Object,pronoun
I30,Zack irritated David. He,M,IC1,Ferstl et al.(2010),english,Zack,David,irritated,Z,Subject,No,0.3455451801684068,Object,"was trying to get him to join in the argument with their boss, but David was not interested in escalating the situation.",Subject,pronoun
I31,Ben antagonized Nick. He,M,IC1,Ferstl et al.(2010),english,Ben,Nick,antagonized,Ben,Subject,Yes,0.6115273976055079,Subject,was furious with Ben for constantly interrupting him during their team meeting and making a fool of him in front of their colleagues.,Object,pronoun
I32,Paul frustrated Steve. He,M,IC1,Ferstl et al.(2010),english,Paul,Steve,frustrated,Steve,Object,Yes,0.6398256863675098,Subject,yelled at him for not meeting the deadline for the project.,Object,pronoun
I33,David appalled Brian. He,M,IC1,Ferstl et al.(2010),english,David,Brian,appalled,David,Subject,Yes,0.6023429448516848,Subject,"had always thought of him as a close friend, but now he couldn't help but wonder if he had misjudged Brian completely.",Subject,pronoun
I34,Nick captivated Frank. He,M,IC1,Ferstl et al.(2010),english,Nick,Frank,captivated,Frank,Object,No,0.077900054,Object,was immediately drawn to Nick's charismatic personality and infectious smile.,Object,pronoun
I35,Steve inspired Simon. He,M,IC1,Ferstl et al.(2010),english,Steve,Simon,inspired,Simon,Subject,Yes,0.6487591296571678,Subject,decided to start a new business venture based on an innovative idea that Steve had shared with him.,Object,pronoun
I36,Brian lied to Justin. He,M,IC1,Ferstl et al.(2010),english,Brian,Justin,lied to,Brian,Subject,Yes,0.5322115564214206,Subject,"denied it when confronted, but the evidence was clear and he eventually confessed to the deception.",Subject,pronoun
I37,Frank maddened Mike. He,M,IC1,Ferstl et al.(2010),english,Frank,Mike,maddened,Frank,Subject,No,0.49779032162573295,Object,"yelled at the top of his lungs, slamming his fist on the table.",Object,pronoun
I38,Simon peeved Tony. He,M,IC1,Ferstl et al.(2010),english,Simon,Tony,peeved,Tony,Object,Yes,0.8047046494848252,Subject,"had been looking forward to their annual fishing trip all week, and now it seemed that Simon had cancelled at the last minute.",Object,pronoun
I39,Justin entranced Eric. He,M,IC1,Ferstl et al.(2010),english,Justin,Eric,entranced,Justin,Subject,Yes,0.6930986670830596,Subject,"was drawn into Justin's captivating world of magic and illusions, where the boundaries between reality and fantasy blurred.",Object,pronoun
I40,Mike intrigued Ben. He,M,IC1,Ferstl et al.(2010),english,Mike,Ben,intrigued,Mike,Subject,Yes,0.8318888701923502,Subject,was a mysterious and charismatic figure that Ben had always been curious about.,Subject,pronoun
I41,Tony repulsed Paul. He,M,IC1,Ferstl et al.(2010),english,Tony,Paul,repulsed,Tony,Subject,No,0.29525243172013244,Object,was shocked by the sudden outburst of anger that had erupted from his usually calm and collected friend.,Subject,pronoun
I42,Eric worried David. He,M,IC1,Ferstl et al.(2010),english,Eric,David,worried,Eric,Subject,No,0.4300871494465237,Object,was struggling to finish his project on time.,Subject,pronoun
I43,Zack betrayed Nick. He,M,IC1,Ferstl et al.(2010),english,Zack,Nick,betrayed,Z,Subject,Yes,0.5944736704429215,Subject,was devastated by the news and felt a deep sense of hurt and betrayal that he had never experienced before.,Object,pronoun
I44,Ben confessed to Steve. He,M,IC1,Ferstl et al.(2010),english,Ben,Steve,confessed to,Steve,Object,No,0.3958134841082497,Object,had been struggling with feelings of guilt for weeks and couldn't keep the secret inside anymore.,Subject,pronoun
I45,Paul scared Brian. He,M,IC1,Ferstl et al.(2010),english,Paul,Brian,scared,Brian,Object,No,0.3141431480709092,Object,was terrified that his childhood friend had been possessed by some kind of dark energy.,Object,pronoun
I46,David wowed Frank. He,M,IC1,Ferstl et al.(2010),english,David,Frank,wowed,Frank,Object,No,0.4367827459378138,Object,had never seen anyone solve the complex math problem so quickly and effortlessly.,Object,pronoun
I47,Nick disappointed Simon. He,M,IC1,Ferstl et al.(2010),english,Nick,Simon,disappointed,Simon,Object,Yes,0.8884869061260486,Subject,"had been looking forward to their weekend plans, but Nick cancelled at the last minute to attend a family gathering.",Object,pronoun
I48,Steve intimidated Justin. He,M,IC1,Ferstl et al.(2010),english,Steve,Justin,intimidated,Justin,Object,Yes,0.664688716,Subject,...was taken aback by Steve's firm tone and piercing stare.,Object,pronoun
I49,Brian bugged Mike. He,M,IC1,Ferstl et al.(2010),english,Brian,Mike,bugged,Mike,Object,No,0.38401651742818815,Object,was extremely frustrated with Brian's constant interruptions during their team meeting.,Object,pronoun
