itemID,stimuli,gender,verb,study,language,subject,object,predicate,binary_choice_response,binary_choice,yes_no_response,yes_no_choice,subject_yes_probability,continuation_response,cont_choice,prompt
I01,Mike aggravated Tony.,M,IC1,Rohde & Kehler (2014),english,Mike,Tony,aggravated,Mike,Subject,Yes,Subject,0.772669476,Tony immediately confronted Mike about his behavior.,Object,free
I02,Tony amazed Eric.,M,IC1,Rohde & Kehler (2014),english,Tony,Eric,amazed,Tony,Subject,Yes,Subject,0.914455336,Eric couldn't believe the incredible magic trick Tony had just performed.,Object,free
I03,Eric amused Zack.,M,IC1,Rohde & Kehler (2014),english,Eric,Zack,amused,Eric,Subject,Yes,Subject,0.740231697,Zack couldn't help but laugh at Eric's silly impression of their boss.,Object,free
I04,Zack annoyed Ben.,M,IC1,Rohde & Kehler (2014),english,Zack,Ben,annoyed,Z,Subject,Yes,Subject,0.79513549,Ben retaliated by hiding Zack's favorite video game controller.,Object,free
I05,Ben apologized to Paul.,M,IC1,Rohde & Kehler (2014),english,Ben,Paul,apologized to,Ben,Subject,Yes,Subject,0.834980714,Paul accepted the apology and they decided to put the matter behind them.,Object,free
I06,Paul bored David.,M,IC1,Rohde & Kehler (2014),english,Paul,David,bored,Paul,Subject,Yes,Subject,0.602263622,David then decided to play a prank on Paul to liven up the situation.,Object,free
I07,David charmed Nick.,M,IC1,Rohde & Kehler (2014),english,David,Nick,charmed,David,Subject,Yes,Subject,0.961927643,Nick couldn't help but laugh at David's witty joke.,Object,free
I08,Nick offended Steve.,M,IC1,Rohde & Kehler (2014),english,Nick,Steve,offended,Nick,Subject,Yes,Subject,0.839121129,Steve immediately confronted Nick about the insensitive comment he had made.,Object,free
I09,Steve confessed to Brian.,M,IC1,Rohde & Kehler (2014),english,Steve,Brian,confessed to,Steve,Subject,Yes,Subject,0.663083851,Brian was taken aback by the revelation and struggled to find the right words to respond to Steve.,Object,free
I10,Brian deceived Frank.,M,IC1,Rohde & Kehler (2014),english,Brian,Frank,deceived,Brian,Subject,Yes,Subject,0.806246203,Frank was furious when he discovered the truth about Brian's actions.,Object,free
I11,Frank disappointd Simon.,M,IC1,Rohde & Kehler (2014),english,Frank,Simon,disappointd,Frank,Subject,Yes,Subject,0.795361543,"Simon was visibly upset and stormed out of the room, slamming the door behind him.",Object,free
I12,Simon exasperated Justin.,M,IC1,Rohde & Kehler (2014),english,Simon,Justin,exasperated,Simon,Subject,Yes,Subject,0.920261964,Justin threw up his hands in frustration and walked away from Simon.,Object,free
I13,Justin fascinated Mike.,M,IC1,Rohde & Kehler (2014),english,Justin,Mike,fascinated,Justin,Subject,Yes,Subject,0.915861869,Mike found himself drawn to Justin's charismatic personality and unique sense of humor.,Object,free
I14,Mike frightened Eric.,M,IC1,Rohde & Kehler (2014),english,Mike,Eric,frightened,Mike,Subject,Yes,Subject,0.735890929,"Eric slowly backed away from Mike, trying to create some distance between them.",Object,free
I15,Tony humiliated Zack.,M,IC1,Rohde & Kehler (2014),english,Tony,Zack,humiliated,Tony,Subject,Yes,Subject,0.669917078,"Zack stormed out of the room, determined to find a way to get revenge on Tony.",Object,free
I16,Eric infuriated Ben.,M,IC1,Rohde & Kehler (2014),english,Eric,Ben,infuriated,Eric,Subject,No,Object,0.478587005,"Ben stormed out of the room, slamming the door behind him.",Object,free
I17,Zack inspires Paul.,M,IC1,Rohde & Kehler (2014),english,Zack,Paul,inspires,Z,Subject,Yes,Subject,0.852946565,"Paul then decides to pursue his long-abandoned passion for painting, thanks to Zack's encouragement.",Object,free
I18,Ben intimidates David.,M,IC1,Rohde & Kehler (2014),english,Ben,David,intimidates,Ben,Subject,Yes,Subject,0.894500058,"David backs away slowly, trying not to make any sudden movements that might provoke Ben further.",Object,free
I19,Paul scares Nick.,M,IC1,Rohde & Kehler (2014),english,Paul,Nick,scares,Paul,Subject,Yes,Subject,0.892005279,Nick tries to hide behind the couch to avoid Paul.,Object,free
I20,David surprised Steve.,M,IC1,Rohde & Kehler (2014),english,David,Steve,surprised,David,Subject,Yes,Subject,0.734316159,"Steve stumbled backward, clearly caught off guard by David's sudden movement.",Object,free
I21,Nick consulted Brian.,M,IC1,Ferstl et al.(2010),english,Nick,Brian,consulted,Nick,Subject,Yes,Subject,0.840770913,Brian then reviewed the documents and offered his expert opinion on the matter.,Object,free
I22,Steve attracted Frank.,M,IC1,Ferstl et al.(2010),english,Steve,Frank,attracted,Steve,Subject,Yes,Subject,0.616733088,Frank was immediately drawn to Steve's charismatic personality and the two of them quickly became inseparable friends.,Object,free
I23,Brian agitated Simon.,M,IC1,Ferstl et al.(2010),english,Brian,Simon,agitated,Brian,Subject,Yes,Subject,0.862728906,Simon reacted by raising his voice at Brian.,Object,free
I24,Frank angered Justin.,M,IC1,Ferstl et al.(2010),english,Frank,Justin,angered,Justin,Object,Yes,Subject,0.728770247,Justin immediately stood up and confronted Frank about his behavior.,Object,free
I25,Simon delighted Mike.,M,IC1,Ferstl et al.(2010),english,Simon,Mike,delighted,Simon,Subject,No,Object,0.236942295,Mike smiled warmly in response to the kind gesture.,Object,free
I26,Justin pleased Tony.,M,IC1,Ferstl et al.(2010),english,Justin,Tony,pleased,Justin,Subject,Yes,Subject,0.873029396,Tony then offered Justin a chance to work on a new project together.,Object,free
I27,Mike called Zack.,M,IC1,Ferstl et al.(2010),english,Mike,Zack,called,Mike,Subject,Yes,Subject,0.62833184,"Zack answered on the first ring, his voice sounding rushed as he said he was in the middle of a meeting.",Object,free
I28,Tony telephoned Ben.,M,IC1,Ferstl et al.(2010),english,Tony,Ben,telephoned,Tony,Subject,Yes,Subject,0.907275409,"Ben answered on the first ring, sounding a bit surprised to hear from Tony.",Object,free
